"experiment","tray","row","column","block","genotype"
"1001G",8,4,5,46,"1158"
"1001G",8,4,6,46,"6046"
"1001G",8,4,7,46,"6017"
"1001G",8,4,8,46,"6024"
"1001G",8,4,9,46,"6244"
"1001G",8,4,10,46,NA
"1001G",8,4,11,46,"8231"
"1001G",8,5,1,47,"6125"
"1001G",8,5,2,47,"8231"
"1001G",8,5,3,47,"6046"
"1001G",8,5,4,47,"6024"
"1001G",8,5,5,47,"6244"
"1001G",8,5,6,47,"6237"
"1001G",8,5,7,47,"6092"
"1001G",8,5,8,47,"1158"
"1001G",8,5,9,47,NA
"1001G",8,5,10,47,"6017"
"1001G",8,5,11,47,"6184"
"1001G",8,6,1,48,"6237"
"1001G",8,6,2,48,"6024"
"1001G",8,6,3,48,"6244"
"1001G",8,6,4,48,NA
"1001G",8,6,5,48,"6125"
"1001G",8,6,6,48,"6184"
"1001G",8,6,7,48,"6092"
"1001G",8,6,8,48,"6017"
"1001G",8,6,9,48,"1158"
"1001G",8,6,10,48,"6046"
"1001G",8,6,11,48,"8231"
"1001G",9,1,1,49,"6017"
"1001G",9,1,2,49,NA
"1001G",9,1,3,49,"6092"
"1001G",9,1,4,49,"1158"
"1001G",9,1,5,49,"6184"
"1001G",9,1,6,49,"6046"
"1001G",9,1,7,49,"8231"
"1001G",9,1,8,49,"6125"
"1001G",9,1,9,49,"6244"
"1001G",9,1,10,49,"6024"
"1001G",9,1,11,49,"6237"
"1001G",9,2,1,50,"6244"
"1001G",9,2,2,50,"6125"
"1001G",9,2,3,50,NA
"1001G",9,2,4,50,"1158"
"1001G",9,2,5,50,"8231"
"1001G",9,2,6,50,"6184"
"1001G",9,2,7,50,"6024"
"1001G",9,2,8,50,"6092"
"1001G",9,2,9,50,"6046"
"1001G",9,2,10,50,"6017"
"1001G",9,2,11,50,"6237"
"1001G",9,3,1,51,"6237"
"1001G",9,3,2,51,"6017"
"1001G",9,3,3,51,"6092"
"1001G",9,3,4,51,"8231"
"1001G",9,3,5,51,"6244"
"1001G",9,3,6,51,"6046"
"1001G",9,3,7,51,"6024"
"1001G",9,3,8,51,NA
"1001G",9,3,9,51,"6184"
"1001G",9,3,10,51,"1158"
"1001G",9,3,11,51,"6125"
"1001G",9,4,1,52,"8231"
"1001G",9,4,2,52,"6046"
"1001G",9,4,3,52,"6024"
"1001G",9,4,4,52,"6237"
"1001G",9,4,5,52,"6184"
"1001G",9,4,6,52,"6092"
"1001G",9,4,7,52,"6244"
"1001G",9,4,8,52,"6017"
"1001G",9,4,9,52,"1158"
"1001G",9,4,10,52,NA
"1001G",9,4,11,52,"6125"
"1001G",9,5,1,53,"6017"
"1001G",9,5,2,53,"8231"
"1001G",9,5,3,53,"6237"
"1001G",9,5,4,53,NA
"1001G",9,5,5,53,"6184"
"1001G",9,5,6,53,"6244"
"1001G",9,5,7,53,"6024"
"1001G",9,5,8,53,"6046"
"1001G",9,5,9,53,"1158"
"1001G",9,5,10,53,"6125"
"1001G",9,5,11,53,"6092"
"1001G",9,6,1,54,"6237"
"1001G",9,6,2,54,"6244"
"1001G",9,6,3,54,"6125"
"1001G",9,6,4,54,"1158"
"1001G",9,6,5,54,"6046"
"1001G",9,6,6,54,"6024"
"1001G",9,6,7,54,NA
"1001G",9,6,8,54,"8231"
"1001G",9,6,9,54,"6184"
"1001G",9,6,10,54,"6017"
"1001G",9,6,11,54,"6092"
"crosses",10,1,1,55,"6125 x 1158"
"crosses",10,1,2,55,NA
"crosses",10,1,3,55,"8231"
